customer_id,gender,age,payment_method
C241288,Female,28,Credit Card
C111565,Male,21,Debit Card
C266599,Male,20,Cash
C988172,Female,66,Credit Card
C189076,Female,53,Cash
C657758,Female,28,Credit Card
C151197,Female,49,Cash
C176086,Female,32,Credit Card
C159642,Male,69,Credit Card
C283361,Female,60,Credit Card
C240286,Female,36,Cash
C191708,Female,29,Credit Card
C225330,Female,67,Debit Card
C312861,Male,25,Cash
C555402,Female,67,Credit Card
C362288,Male,24,Credit Card
C300786,Male,65,Debit Card
C330667,Female,42,Credit Card
C218149,Female,46,Cash
C196845,Male,24,Cash
C220180,Male,23,Credit Card
C125696,Female,27,Cash
C322947,Male,52,Credit Card
C313348,Male,44,Cash
C204553,Female,42,Cash
C285161,Male,51,Debit Card
C289625,Female,25,Credit Card
C192344,Male,50,Cash
C447138,Female,65,Cash
C251229,Male,29,Credit Card
C159164,Female,66,Debit Card
C501658,Male,23,Credit Card
C176727,Female,32,Credit Card
C232624,Male,51,Debit Card
C164092,Female,66,Credit Card
C276887,Male,68,Credit Card
C245456,Male,43,Credit Card
C450287,Female,59,Credit Card
C204279,Male,54,Cash
C452806,Male,24,Cash
C716788,Female,49,Cash
C155059,Male,67,Credit Card
C306662,Female,48,Cash
C607615,Female,40,Cash
C120164,Female,41,Credit Card
C134449,Male,46,Credit Card
C317818,Female,19,Credit Card
C241642,Female,43,Debit Card
C126436,Male,18,Debit Card
C653385,Female,22,Debit Card
C227070,Female,61,Cash
C317478,Female,41,Cash
C237330,Female,53,Credit Card
C626042,Female,43,Cash
C133687,Female,45,Debit Card
C841663,Female,29,Cash
C213742,Male,43,Cash
C962515,Female,19,Credit Card
C112279,Female,67,Cash
C158837,Female,36,Cash
C336576,Male,64,Credit Card
C716161,Female,33,Debit Card
C439382,Female,33,Credit Card
C123427,Male,66,Cash
C224743,Female,29,Debit Card
C119549,Male,22,Cash
C187266,Female,63,Cash
C173084,Female,24,Debit Card
C126956,Female,24,Cash
C236859,Female,44,Credit Card
C309926,Male,34,Cash
C493252,Female,47,Cash
C109871,Male,38,Cash
C136117,Female,57,Debit Card
C258404,Male,67,Cash
C169749,Male,41,Credit Card
C199947,Female,40,Debit Card
C135790,Female,69,Cash
C606418,Female,47,Cash
C111611,Female,53,Credit Card
C679476,Male,40,Cash
C542025,Male,60,Credit Card
C168491,Male,30,Cash
C169650,Female,66,Credit Card
